MW,ALogP,PSA,NumHDonors,NumHAcceptors,pIC50
580.6820000000004,2.6858200000000014,156.7,3.0,8.0,3.0604807473813813
547.6530000000002,1.3986200000000035,168.72999999999996,4.0,8.0,3.6989700043360187
581.6700000000001,1.5952200000000034,168.72999999999996,4.0,8.0,3.5228787452803374
659.7810000000001,0.870600000000006,201.25999999999996,6.0,9.0,4.823908740944319
625.764,0.6740000000000061,201.25999999999996,6.0,9.0,5.0
636.7870000000001,2.0748000000000024,189.22999999999996,5.0,9.0,4.096910013008056
558.6760000000003,2.7994200000000014,156.7,3.0,8.0,3.0969100130080562
297.31,3.007900000000002,86.63,3.0,4.0,5.267606240177032
331.755,3.6613000000000016,86.63,3.0,4.0,4.958607314841775
332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.866461091629782
332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.61261017366127
332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.542118103266008
298.294,2.974800000000002,83.83,2.0,4.0,4.399027104313252
298.294,2.974800000000002,83.83,2.0,4.0,4.384049948343599
332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.301029995663981
298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.301029995663981
297.31,3.007900000000002,86.63,3.0,4.0,4.301029995663981
331.755,3.6613000000000016,86.63,3.0,4.0,4.301029995663981
332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.301029995663981
298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
205.238,2.3623000000000003,39.19,0.0,4.0,6.301029995663981
667.3500000000003,7.252900000000007,32.900000000000006,0.0,7.0,5.6020599913279625
553.1960000000003,5.815200000000006,7.12,0.0,3.0,5.42021640338319
361.515,5.203500000000004,7.12,0.0,3.0,4.978810700930062
471.71500000000026,7.978200000000007,7.12,0.0,3.0,5.698970004336019
559.2440000000001,6.266940000000009,7.12,0.0,3.0,5.180456064458132
492.71500000000026,4.534700000000004,29.12,0.0,6.0,5.0
471.71500000000026,8.245740000000007,7.12,0.0,3.0,5.267606240177032
518.6820000000002,4.593600000000005,82.78000000000002,0.0,8.0,5.136677139879544
331.7550000000001,3.147400000000002,82.7,3.0,5.0,4.301029995663981
331.7550000000001,3.147400000000002,82.7,3.0,5.0,4.301029995663981
331.7550000000001,3.147400000000002,82.7,3.0,5.0,4.301029995663981
