molecule_chembl_id,canonical_smiles,bioactivity_class,value,MW,ALogP,PSA,NumHDonors,NumHAcceptors,pIC50
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,inactive,870.0,580.6820000000004,2.6858200000000014,156.7,3.0,8.0,3.0604807473813813
CHEMBL393608,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,200.0,547.6530000000002,1.3986200000000035,168.72999999999996,4.0,8.0,3.6989700043360187
CHEMBL238216,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,300.0,581.6700000000001,1.5952200000000034,168.72999999999996,4.0,8.0,3.5228787452803374
CHEMBL235873,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,inactive,15.0,659.7810000000001,0.870600000000006,201.25999999999996,6.0,9.0,4.823908740944319
CHEMBL397154,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,inactive,10.0,625.764,0.6740000000000061,201.25999999999996,6.0,9.0,5.0
CHEMBL238217,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C,inactive,80.0,636.7870000000001,2.0748000000000024,189.22999999999996,5.0,9.0,4.096910013008056
CHEMBL196635,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC=C(C)C)CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,inactive,800.0,558.6760000000003,2.7994200000000014,156.7,3.0,8.0,3.0969100130080562
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,intermediate,5.4,297.31,3.007900000000002,86.63,3.0,4.0,5.267606240177032
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,inactive,11.0,331.755,3.6613000000000016,86.63,3.0,4.0,4.958607314841775
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,inactive,13.6,332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.866461091629782
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,inactive,24.4,332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.61261017366127
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,inactive,28.7,332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.542118103266008
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,inactive,39.9,298.294,2.974800000000002,83.83,2.0,4.0,4.399027104313252
CHEMBL492768,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccccc2)cc1,inactive,41.3,298.294,2.974800000000002,83.83,2.0,4.0,4.384049948343599
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,inactive,50.0,332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.301029995663981
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,inactive,50.0,298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,inactive,50.0,298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
CHEMBL492772,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccc(Cl)cc1,inactive,50.0,332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.301029995663981
CHEMBL492571,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccccc2)c1,inactive,50.0,297.31,3.007900000000002,86.63,3.0,4.0,4.301029995663981
CHEMBL522710,O=C(O)/C(O)=C/C(=O)c1cccc(NCc2ccc(Cl)cc2)c1,inactive,50.0,331.755,3.6613000000000016,86.63,3.0,4.0,4.301029995663981
CHEMBL492769,O=C(O)/C(O)=C/C(=O)c1ccc(OCc2ccc(Cl)cc2)cc1,inactive,50.0,332.73900000000003,3.6282000000000023,83.83,2.0,4.0,4.301029995663981
CHEMBL492770,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccccc2)c1,inactive,50.0,298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
CHEMBL499444,O=C(O)/C(O)=C/C(=O)c1ccccc1OCc1ccccc1,inactive,50.0,298.294,2.974800000000002,83.83,2.0,4.0,4.301029995663981
CHEMBL221366,O=C(Oc1cccnc1)c1cccs1,active,0.5,205.238,2.3623000000000003,39.19,0.0,4.0,6.301029995663981
CHEMBL541163,CCN1/C(=C\C=C\c2sc3ccc(-c4nc5ccccc5s4)cc3[n+]2CC)Sc2ccc(-c3nc4ccccc4s3)cc21.[Cl-],intermediate,2.5,667.3500000000003,7.252900000000007,32.900000000000006,0.0,7.0,5.6020599913279625
